match_id,match_date,kickoff_time_local,matchday,season,stage,opponent,ohl_result,ohl_goals_ft,opponent_goals_ft,last_h2h_result,last_h2h_ohl_goals,last_h2h_opponent_goals,tickets_scanned,weather_score,weather_temp_deviation,weather_rain_mm,weather_windspeed_max_kmh,weather_sunshine_hours,has_snow,is_weekend,is_midweek,academic_week,is_public_holiday,is_school_holiday_flanders,has_promotion,promo_tickets_total,has_campaign,tickets_sold_total,pre_match_article_count,avg_ohl_interest_7d
dt091ishr3km0wuuhiatev9xw,2023-02-26,16:00:00,27,2022/2023,Regular Season,Antwerp,D,1,1,L,2,4,9331.0,-0.35,-5.5,0.0,25.8,10.0,False,True,False,26,False,False,False,0,False,5721,22.0,3.89
du1wib350joxeh5hdv9v8yihg,2023-03-04,18:15:00,28,2022/2023,Regular Season,Zulte Waregem,W,4,2,W,5,2,7785.0,-1.43,-3.7,0.2,14.6,1.3,False,True,False,27,False,True,True,110,False,5603,15.0,4.917142857142857
dw8a4f7k9qt9iyxuuno9rvztg,2023-03-19,16:00:00,30,2022/2023,Regular Season,Anderlecht,L,0,2,D,2,2,10827.0,-1.03,1.5,0.6,16.9,8.7,False,True,False,29,False,False,False,0,False,6326,25.0,4.064285714285715
dyrd81lg1d8eb5ptsbq1tg6j8,2023-04-08,16:00:00,32,2022/2023,Regular Season,Mechelen,W,4,1,D,0,0,8310.0,-1.31,-1.6,0.5,8.9,3.5,False,True,False,32,False,True,False,0,False,4937,8.0,11.377142857142855
e0tuth9cc11wefswrzq1cjyms,2023-04-23,18:30:00,34,2022/2023,Regular Season,Standard Liège,W,3,2,W,3,1,10079.0,-2.54,0.8,5.4,35.2,5.3,False,True,False,34,False,False,False,0,False,5962,12.0,3.69
3kewmr690bhoid47mku9wfgno,2023-08-05,20:45:00,2,2023/2024,Regular Season,RWDM,L,1,2,,,,7786.0,-3.98,-4.9,8.3,24.1,3.1,False,True,False,49,False,True,False,0,False,5988,11.0,6.098571428571428
3nrkjdhpc5zse1sdzt1onor2s,2023-08-18,20:45:00,4,2023/2024,Regular Season,Antwerp,D,1,1,D,1,1,8577.0,0.18,1.8,0.0,11.5,10.4,False,False,False,51,False,True,False,0,False,6652,20.0,6.3342857142857145
3rwouz4640n6ngfbwrwsqkp3o,2023-09-01,20:45:00,6,2023/2024,Regular Season,Kortrijk,W,3,0,L,2,3,9144.0,-3.89,1.1,11.1,15.8,6.0,False,False,False,1,False,False,True,809,False,7385,10.0,5.961428571428571
3vk3btgbt7w7qy9hjp3f2934k,2023-09-17,18:30:00,7,2023/2024,Regular Season,Gent,D,1,1,L,0,2,9598.0,-1.02,4.0,1.4,12.9,6.1,False,True,False,3,False,False,False,0,False,6929,89.0,3.5671428571428576
3yp7glzujzj8nc07qp0sd0kr8,2023-09-30,18:15:00,9,2023/2024,Regular Season,Standard Liège,L,1,2,W,3,2,9211.0,-0.19,-1.9,0.0,10.8,10.1,False,True,False,5,False,False,False,0,False,6901,13.0,5.492857142857143
42wgdmxzlcn9w08umkea3hpg4,2023-10-22,19:15:00,11,2023/2024,Regular Season,Sint-Truiden,W,4,0,D,1,1,7784.0,-1.54,-0.6,1.6,31.1,7.2,False,True,False,8,False,False,False,0,False,7617,3.0,4.444285714285714
4729fykixfyfwxlbno9zilq8k,2023-11-04,18:15:00,13,2023/2024,Regular Season,Westerlo,L,0,2,W,2,1,9240.0,-2.2,1.5,4.5,32.0,1.2,False,True,False,10,False,True,False,0,False,7955,24.0,10.46
4bjgrdur7wdidfbs58xmjynf8,2023-11-26,16:00:00,15,2023/2024,Regular Season,Club Brugge,L,0,1,D,1,1,10546.0,-1.49,-3.4,0.5,18.9,0.0,False,True,False,13,False,False,False,0,False,8132,30.0,3.261428571428571
4i4bz7rnjs44z8bt8bnftavbo,2023-12-16,16:00:00,18,2023/2024,Regular Season,Cercle Brugge,L,1,2,L,2,3,8038.0,0.1,1.0,0.0,19.9,2.0,False,True,False,16,False,False,True,37,True,7181,24.0,4.795714285714285
4mbxzkhlc9edsor1s0fjsxses,2023-12-26,16:00:00,20,2023/2024,Regular Season,Eupen,W,3,0,L,1,3,7863.0,-1.06,3.3,1.3,30.3,5.0,False,False,True,17,True,True,True,449,False,7217,7.0,3.6928571428571426
4oobcluwuns3xnlhy5m9m7sic,2024-01-21,18:30:00,21,2023/2024,Regular Season,Anderlecht,D,1,1,L,1,5,10786.0,-1.2,-1.1,0.3,38.0,1.7,False,True,False,21,False,False,False,0,False,8274,40.0,5.014285714285714
4s3or8i47or8p70amtotvjlec,2024-01-31,18:45:00,23,2023/2024,Regular Season,Genk,W,2,1,L,1,3,7846.0,-0.75,2.8,0.1,26.1,6.9,False,False,True,22,False,False,False,0,False,7231,77.0,8.824285714285713
4yqzx2kle0xh8c6mbzui5ydjo,2024-02-17,18:15:00,26,2023/2024,Regular Season,Sporting Charleroi,D,0,0,D,1,1,9228.0,-0.68,3.8,0.2,13.8,6.0,False,True,False,25,False,True,False,0,True,7776,10.0,6.467142857142858
539hjt08589esprrqk8xj09as,2024-03-02,18:15:00,28,2023/2024,Regular Season,Union Saint-Gilloise,L,0,2,L,1,5,9789.0,-2.61,0.4,5.5,33.5,6.7,False,True,False,27,False,False,False,0,False,7939,,5.184285714285714
57i6yyarvjpugxfcvu1v2fl04,2024-03-17,18:30:00,30,2023/2024,Regular Season,Mechelen,W,1,0,W,2,1,11069.0,-1.25,2.0,1.5,16.2,1.5,False,True,False,29,False,False,False,0,False,8194,44.0,6.435714285714285
98omfw1wagomo5aac4rpyhtlg,2024-03-30,18:15:00,1,2023/2024,Conference League Play-off Group,Mechelen,L,2,3,W,1,0,6701.0,-2.19,1.0,4.3,18.0,1.1,False,True,False,31,False,False,True,117,False,6305,16.0,1.7957142857142858
9bied5x123qpk7tpdx9t2fml0,2024-04-14,19:15:00,3,2023/2024,Conference League Play-off Group,Gent,W,2,1,L,0,4,4936.0,-1.04,2.3,0.9,18.4,7.6,False,True,False,33,False,True,True,1,False,6280,54.0,2.6
9bwhkknuamvj2f60dtr3tdlas,2024-04-20,16:00:00,4,2023/2024,Conference League Play-off Group,Sint-Truiden,W,1,0,D,1,1,4350.0,-1.53,-3.5,0.6,23.5,9.0,False,True,False,34,False,False,True,475,False,6708,3.0,5.568571428571429
9garbt9ourfmmy4uxcq3f84yc,2024-05-05,16:00:00,7,2023/2024,Conference League Play-off Group,Standard Liège,W,3,1,D,0,0,4913.0,-0.22,-2.2,0.0,12.1,10.2,False,True,False,36,False,False,False,0,False,6878,1.0,5.005714285714285
9j49kwr0mzxabprw5v0rfr3mc,2024-05-25,20:30:00,10,2023/2024,Conference League Play-off Group,Westerlo,L,1,2,D,1,1,5907.0,-4.01,-0.1,15.1,20.8,5.2,False,True,False,39,False,False,True,165,False,7388,7.0,2.218571428571429
5sue6595uizdrssh0wv22egpg,2024-08-03,18:15:00,2,2024/2025,Regular Season,Genk,W,3,1,W,2,1,5583.0,-1.53,0.1,1.8,19.3,9.6,False,True,False,49,False,True,False,0,True,6703,39.0,7.405714285714285
602pbgoexz07st4msln8fq0wk,2024-08-18,16:00:00,4,2024/2025,Regular Season,Cercle Brugge,D,1,1,L,1,2,5528.0,-1.9,-0.9,2.7,19.7,8.5,False,True,False,51,False,True,True,602,False,7114,5.0,4.885714285714286
65chj645tcu0gtoy18rdroyz8,2024-08-31,20:45:00,6,2024/2025,Regular Season,Standard Liège,W,2,0,W,3,1,8958.0,-3.06,0.1,6.9,17.3,9.5,False,True,False,53,False,True,False,0,False,7239,10.0,8.165714285714285
6c8lz4vpdfl8yxo9kgokz9250,2024-09-22,19:15:00,8,2024/2025,Regular Season,Kortrijk,D,1,1,D,0,0,6061.0,0.13,1.3,0.0,20.3,5.5,False,True,False,4,False,False,False,0,False,7315,9.0,5.911428571428571
6lop4d01krcoktw7peu0xrlec,2024-10-20,16:00:00,11,2024/2025,Regular Season,Antwerp,D,1,1,L,0,1,6921.0,-0.85,2.7,0.4,30.6,2.2,False,True,False,8,False,False,False,0,False,7622,21.0,2.6142857142857143
6rulhyb9xa5yczi1jntilsr9w,2024-11-02,18:15:00,13,2024/2025,Regular Season,Club Brugge,L,0,1,L,1,3,10485.0,0.28,2.8,0.0,13.0,0.0,False,True,False,9,False,True,False,0,False,8465,14.0,7.675714285714287
6y80kic6abtlkzmkr4oiejkt0,2024-11-24,16:00:00,15,2024/2025,Regular Season,Union Saint-Gilloise,D,1,1,L,0,2,6344.0,-0.46,6.6,0.4,32.4,5.4,False,True,False,13,False,False,False,0,False,7631,1.0,2.2671428571428573
70wtfxx5kccxl5sxj1bvcd8us,2024-12-01,16:00:00,16,2024/2025,Regular Season,Anderlecht,D,0,0,D,1,1,10723.0,0.01,0.1,0.0,19.8,6.3,False,True,False,14,False,False,False,0,False,8682,27.0,7.761428571428572
77idfj6cmoadi2223efythatw,2024-12-14,18:15:00,18,2024/2025,Regular Season,Sporting Charleroi,W,1,0,W,2,0,5641.0,-1.5,-2.6,0.8,16.1,0.0,False,True,False,15,False,False,True,684,False,7178,2.0,5.492857142857142
7dq0nagdoadvgfk4qfxw3lvkk,2024-12-27,18:30:00,20,2024/2025,Regular Season,Beerschot,W,2,0,D,0,0,6655.0,-0.29,-2.9,0.0,4.3,5.4,False,False,False,17,False,True,False,0,False,7956,11.0,5.231428571428572
7mk17ds9sv6rqbsd6o75ppuz8,2025-01-26,19:15:00,23,2024/2025,Regular Season,Gent,D,0,0,L,0,3,5550.0,-5.95,0.6,6.4,29.5,4.3,True,True,False,22,False,False,False,0,False,6979,43.0,6.104285714285715
7qex3cmy0pi6r9v2luba43qqc,2025-01-31,20:45:00,24,2024/2025,Regular Season,Mechelen,W,1,0,L,0,5,6619.0,-1.14,-1.1,0.1,12.7,3.2,False,False,False,22,False,False,False,0,False,7575,11.0,8.287142857142856
7wei2vfmf9wa2ikr3hmt50ljo,2025-02-15,16:00:00,26,2024/2025,Regular Season,Dender,W,3,2,D,1,1,5782.0,-4.69,-6.3,0.0,11.9,6.1,True,True,False,24,False,False,True,425,False,7743,43.0,12.819999999999997
82ku9pdoluteqx9sa2bqzmcyc,2025-03-02,19:15:00,28,2024/2025,Regular Season,Westerlo,D,0,0,D,1,1,7097.0,-0.51,-5.1,0.0,8.7,10.0,False,True,False,27,False,False,False,0,False,8132,7.0,4.707142857142857
89eut1cf33jziticurrctu2ok,2025-03-16,18:30:00,30,2024/2025,Regular Season,Sint-Truiden,W,3,2,L,1,2,7689.0,-0.39,-3.9,0.0,16.7,11.7,False,True,False,29,False,False,False,0,False,8464,,2.4414285714285713
7u79waryljwbgwi0mk9gugzkk,2025-03-28,20:45:00,1,2024/2025,Conference League Play-off Group,Sporting Charleroi,D,0,0,W,1,0,4241.0,-2.77,-0.3,5.8,14.1,9.6,False,False,False,30,False,False,False,0,False,5141,1.0,2.0914285714285716
7ygyxo6o1uoe8uzbk4nsgeiok,2025-04-19,16:00:00,4,2024/2025,Conference League Play-off Group,Dender,D,4,4,W,3,2,4252.0,0.06,0.6,0.0,15.1,11.0,False,True,False,33,False,True,False,0,False,5154,38.0,5.671428571428572
814atdxgv4huojqsu3t0d9vro,2025-04-26,16:00:00,6,2024/2025,Conference League Play-off Group,Standard Liège,D,1,1,W,1,0,5164.0,0.31,1.1,0.0,11.9,13.8,False,True,False,34,False,False,False,0,False,5304,5.0,8.802857142857142
82ukg77wot5ten1zki8rhuln8,2025-05-03,18:15:00,7,2024/2025,Conference League Play-off Group,Mechelen,L,1,2,D,1,1,5615.0,-1.8,0.7,2.9,17.9,7.9,False,True,False,35,False,False,False,0,False,5310,1.0,6.58142857142857
852y9z78ifhike3zkg6dfyluc,2025-05-16,20:45:00,9,2024/2025,Conference League Play-off Group,Westerlo,L,0,2,D,2,2,5025.0,-0.18,-1.8,0.0,18.5,15.0,False,False,False,37,False,False,False,0,False,5367,7.0,4.5200000000000005
csbw4frxjcvgpv95iekqvb21g,2025-07-27,16:00:00,1,2025/2026,Regular Season,Sporting Charleroi,D,2,2,L,1,2,4318.0,-4.1,-1.0,10.9,15.2,7.4,False,True,False,48,False,True,True,4,False,6066,3.0,2.6814285714285715
d0y4sncaf09mzv9ms24ck6olw,2025-08-15,20:45:00,4,2025/2026,Regular Season,Genk,L,1,2,L,0,2,6360.0,0.29,2.9,0.0,16.0,13.9,False,False,False,50,True,True,True,613,False,7749,46.0,8.158571428571427
d7riiuoqud1d84e7gu4givjf8,2025-08-31,16:00:00,6,2025/2026,Regular Season,Standard Liège,W,1,0,D,1,1,6676.0,-1.65,0.1,2.2,20.1,6.5,False,True,False,53,False,True,True,16,False,7502,7.0,10.394285714285711
de191c5ia8dqmkvpzprawob2s,2025-09-20,16:00:00,8,2025/2026,Regular Season,RAAL La Louvière,L,1,2,,,,4036.0,-0.92,5.0,1.4,20.4,3.5,False,True,False,3,False,False,True,5,False,5737,4.0,9.127142857142855
dh7ze0l15ri59fuhmnrs8pst0,2025-09-26,20:45:00,9,2025/2026,Regular Season,Anderlecht,D,1,1,D,0,0,6977.0,-1.53,-5.0,0.1,10.9,5.8,False,False,False,4,False,False,True,21,False,8111,31.0,9.524285714285714
dob21hsimmlz7agqzo8irt5w4,2025-10-18,18:15:00,11,2025/2026,Regular Season,Club Brugge,L,0,1,L,0,1,7992.0,-1.33,-2.4,0.3,11.5,7.3,False,True,False,7,False,False,True,12,False,8549,17.0,8.728571428571428
duivyh7ccvqb0o2ykwgvaq5uc,2025-11-02,16:00:00,13,2025/2026,Regular Season,Gent,W,4,0,D,0,0,6373.0,-1.02,2.5,0.9,19.5,7.0,False,True,False,9,False,True,True,12,False,7347,60.0,6.085714285714286
e1650lh8xyaev5kzm5v3m2kgk,2025-11-23,19:15:00,15,2025/2026,Regular Season,Sint-Truiden,L,1,2,W,3,2,5661.0,-5.78,-5.5,1.1,25.7,0.0,True,True,False,12,False,False,True,8,False,7078,8.0,6.082857142857144
e6vo7nt78kq3sax8h8o1ke4gk,2025-12-07,19:15:00,17,2025/2026,Regular Season,Zulte Waregem,D,1,1,L,0,2,4494.0,-1.7,5.6,4.2,27.4,0.0,False,True,False,14,False,False,True,475,False,6278,7.0,22.222857142857137
ecz9iyxyc5ira9n59m8cp3bis,2025-12-21,19:15:00,19,2025/2026,Regular Season,Cercle Brugge,L,0,2,W,2,1,5812.0,0.29,2.9,0.0,15.8,5.5,False,True,False,16,False,False,True,6,False,7473,7.0,10.23
enw1n6mhkzvb6uptwhzs4gowk,2026-01-24,20:45:00,22,2025/2026,Regular Season,Union Saint-Gilloise,D,0,0,L,0,5,5322.0,0.16,1.6,0.0,11.4,7.6,False,True,False,21,False,False,True,13,False,6720,,9.384285714285712
eqncupz92qy89z9bxks1e0t90,2026-02-01,19:15:00,23,2025/2026,Regular Season,Mechelen,D,2,2,D,1,1,5971.0,-1.1,-0.1,0.3,16.4,6.5,False,True,False,22,False,False,True,5,False,7355,12.0,3.675
ewgb5fczpfa71pfzihlip6yok,2026-02-14,16:00:00,25,2025/2026,Regular Season,Dender,W,3,2,W,1,0,5137.0,-0.57,-5.7,0.0,18.7,3.4,False,True,False,24,False,False,True,509,False,7118,55.0,14.857142857142858
rf7k8o1xjf0xw5zrgpbtmhg,2026-03-07,16:00:00,28,2025/2026,Regular Season,Westerlo,L,0,1,L,0,2,6062.0,0.22,2.2,0.0,9.8,10.4,False,True,False,27,False,False,True,6,False,7526,9.0,17.714285714285715
